Case_ID,Load_Position_X_m,Applied_Node_ID,Load_Magnitude_N,Max_Deformation_m
400,0.4,421,10000.0,9.735869307294604e-07
401,0.41,421,100.0,9.7358693072946e-09
402,0.41,421,1200.0,1.1683043168753553e-07
403,0.41,421,2300.0,2.2392499406774296e-07
404,0.41,421,3400.0,3.3101955644801646e-07
405,0.41,421,4500.0,4.3811411882761345e-07
406,0.41,421,5600.0,5.452086812084257e-07
407,0.41,421,6700.0,6.52303243588739e-07
408,0.41,421,7800.0,7.593978059674876e-07
409,0.41,421,8900.0,8.664923683489817e-07
410,0.41,421,10000.0,9.735869307250093e-07
411,0.42,421,100.0,9.7358693072946e-09
412,0.42,421,1200.0,1.1683043168724416e-07
413,0.42,421,2300.0,2.2392499406830272e-07
414,0.42,421,3400.0,3.310195564480224e-07
415,0.42,421,4500.0,4.3811411882902196e-07
416,0.42,421,5600.0,5.452086812083171e-07
417,0.42,421,6700.0,6.523032435898908e-07
418,0.42,421,7800.0,7.593978059649706e-07
419,0.42,421,8900.0,8.66492368349195e-07
420,0.42,421,10000.0,9.735869307293577e-07
421,0.43,421,100.0,9.735869307294328e-09
422,0.43,421,1200.0,1.168304316876858e-07
423,0.43,421,2300.0,2.2392499406772292e-07
424,0.43,421,3400.0,3.3101955644801646e-07
425,0.43,421,4500.0,4.381141188282574e-07
426,0.43,421,5600.0,5.452086812075877e-07
427,0.43,421,6700.0,6.523032435905265e-07
428,0.43,421,7800.0,7.593978059672183e-07
429,0.43,421,8900.0,8.664923683507006e-07
430,0.43,421,10000.0,9.735869307260797e-07
431,0.44,421,100.0,9.735869307293382e-09
432,0.44,421,1200.0,1.1683043168783759e-07
433,0.44,421,2300.0,2.239249940680991e-07
434,0.44,421,3400.0,3.310195564475078e-07
435,0.44,421,4500.0,4.381141188277549e-07
436,0.44,421,5600.0,5.452086812064382e-07
437,0.44,421,6700.0,6.523032435853313e-07
438,0.44,421,7800.0,7.593978059672921e-07
439,0.44,421,8900.0,8.66492368349218e-07
440,0.44,421,10000.0,9.735869307280076e-07
441,0.45,421,100.0,9.735869307301505e-09
442,0.45,421,1200.0,1.1683043168729807e-07
443,0.45,421,2300.0,2.2392499406775532e-07
444,0.45,421,3400.0,3.310195564480071e-07
445,0.45,421,4500.0,4.381141188282574e-07
446,0.45,421,5600.0,5.452086812097159e-07
447,0.45,421,6700.0,6.523032435886689e-07
448,0.45,421,7800.0,7.593978059688771e-07
449,0.45,421,8900.0,8.664923683489246e-07
450,0.45,421,10000.0,9.735869307294793e-07
451,0.46,421,100.0,9.73586930726825e-09
452,0.46,421,1200.0,1.1683043168747896e-07
453,0.46,421,2300.0,2.239249940677658e-07
454,0.46,421,3400.0,3.310195564476298e-07
455,0.46,421,4500.0,4.381141188282574e-07
456,0.46,421,5600.0,5.452086812084486e-07
457,0.46,421,6700.0,6.523032435887498e-07
458,0.46,421,7800.0,7.593978059689195e-07
459,0.46,421,8900.0,8.66492368349218e-07
460,0.46,421,10000.0,9.735869307295223e-07
461,0.47,421,100.0,9.735869307294997e-09
462,0.47,421,1200.0,1.1683043168738781e-07
463,0.47,421,2300.0,2.2392499406712386e-07
464,0.47,421,3400.0,3.3101955644800847e-07
465,0.47,421,4500.0,4.3811411882807233e-07
466,0.47,421,5600.0,5.452086812084544e-07
467,0.47,421,6700.0,6.523032435878532e-07
468,0.47,421,7800.0,7.593978059688842e-07
469,0.47,421,8900.0,8.664923683490617e-07
470,0.47,421,10000.0,9.735869307293887e-07
471,0.48,421,100.0,9.735869307289872e-09
472,0.48,421,1200.0,1.1683043168753325e-07
473,0.48,421,2300.0,2.239249940681584e-07
474,0.48,421,3400.0,3.3101955644612393e-07
475,0.48,421,4500.0,4.3811411882822416e-07
476,0.48,421,5600.0,5.452086812084455e-07
477,0.48,421,6700.0,6.523032435886838e-07
478,0.48,421,7800.0,7.593978059681111e-07
479,0.48,421,8900.0,8.664923683491027e-07
480,0.48,421,10000.0,9.73586930722897e-07
481,0.49,421,100.0,9.735869307246666e-09
482,0.49,421,1200.0,1.1683043168764746e-07
483,0.49,421,2300.0,2.239249940677758e-07
484,0.49,421,3400.0,3.3101955644801646e-07
485,0.49,421,4500.0,4.381141188282025e-07
486,0.49,421,5600.0,5.452086812065582e-07
487,0.49,421,6700.0,6.52303243587467e-07
488,0.49,421,7800.0,7.593978059679909e-07
489,0.49,421,8900.0,8.664923683488719e-07
490,0.49,421,10000.0,9.735869307263897e-07
491,0.5,421,100.0,9.735869307293768e-09
492,0.5,421,1200.0,1.1683043168752606e-07
493,0.5,421,2300.0,2.239249940677583e-07
494,0.5,421,3400.0,3.3101955644797364e-07
495,0.5,421,4500.0,4.3811411882821077e-07
496,0.5,421,5600.0,5.452086812093084e-07
497,0.5,421,6700.0,6.523032435893117e-07
498,0.5,421,7800.0,7.593978059689195e-07
499,0.5,421,8900.0,8.66492368349271e-07
500,0.5,421,10000.0,9.735869307238982e-07
501,0.51,421,100.0,9.735869307319574e-09
502,0.51,421,1200.0,1.1683043168753553e-07
503,0.51,421,2300.0,2.2392499406775667e-07
504,0.51,421,3400.0,3.3101955644801646e-07
505,0.51,421,4500.0,4.381141188282574e-07
506,0.51,421,5600.0,5.452086812089164e-07
507,0.51,421,6700.0,6.52303243589925e-07
508,0.51,421,7800.0,7.59397805966258e-07
509,0.51,421,8900.0,8.664923683491495e-07
510,0.51,421,10000.0,9.735869307292127e-07
511,0.52,421,100.0,9.73586930731822e-09
512,0.52,421,1200.0,1.1683043168687022e-07
513,0.52,421,2300.0,2.2392499406700956e-07
514,0.52,421,3400.0,3.310195564483515e-07
515,0.52,421,4500.0,4.381141188282574e-07
516,0.52,421,5600.0,5.452086812084544e-07
517,0.52,421,6700.0,6.523032435852584e-07
518,0.52,421,7800.0,7.593978059689987e-07
519,0.52,421,8900.0,8.664923683491672e-07
520,0.52,421,10000.0,9.735869307280122e-07
521,0.53,421,100.0,9.735869307293771e-09
522,0.53,421,1200.0,1.1683043168751247e-07
523,0.53,421,2300.0,2.2392499406776872e-07
524,0.53,421,3400.0,3.3101955644713555e-07
525,0.53,421,4500.0,4.381141188293052e-07
526,0.53,421,5600.0,5.452086812084728e-07
527,0.53,421,6700.0,6.523032435886909e-07
528,0.53,421,7800.0,7.593978059689195e-07
529,0.53,421,8900.0,8.664923683488866e-07
530,0.53,421,10000.0,9.735869307294604e-07
531,0.54,421,100.0,9.735869307258839e-09
532,0.54,421,1200.0,1.1683043168754732e-07
533,0.54,421,2300.0,2.2392499406772123e-07
534,0.54,421,3400.0,3.3101955644799397e-07
535,0.54,421,4500.0,4.3811411882823793e-07
536,0.54,421,5600.0,5.45208681208498e-07
537,0.54,421,6700.0,6.523032435901808e-07
538,0.54,421,7800.0,7.593978059687957e-07
539,0.54,421,8900.0,8.66492368349218e-07
540,0.54,421,10000.0,9.7358693072835e-07
541,0.55,421,100.0,9.7358693072946e-09
542,0.55,421,1200.0,1.1683043168778724e-07
543,0.55,421,2300.0,2.239249940677583e-07
544,0.55,421,3400.0,3.3101955644801064e-07
545,0.55,421,4500.0,4.381141188282448e-07
546,0.55,421,5600.0,5.452086812085079e-07
547,0.55,421,6700.0,6.523032435902159e-07
548,0.55,421,7800.0,7.593978059687957e-07
549,0.55,421,8900.0,8.664923683491562e-07
550,0.55,421,10000.0,9.735869307300781e-07
551,0.56,421,100.0,9.735869307294578e-09
552,0.56,421,1200.0,1.1683043168746647e-07
553,0.56,421,2300.0,2.2392499406807648e-07
554,0.56,421,3400.0,3.310195564484488e-07
555,0.56,421,4500.0,4.3811411882927554e-07
556,0.56,421,5600.0,5.452086812078228e-07
557,0.56,421,6700.0,6.52303243588656e-07
558,0.56,421,7800.0,7.593978059694571e-07
559,0.56,421,8900.0,8.664923683491121e-07
560,0.56,421,10000.0,9.735869307278466e-07
561,0.57,421,100.0,9.7358693072946e-09
562,0.57,421,1200.0,1.1683043168751315e-07
563,0.57,421,2300.0,2.2392499406775416e-07
564,0.57,421,3400.0,3.310195564472407e-07
565,0.57,421,4500.0,4.381141188282574e-07
566,0.57,421,5600.0,5.45208681208498e-07
567,0.57,421,6700.0,6.52303243588739e-07
568,0.57,421,7800.0,7.593978059689926e-07
569,0.57,421,8900.0,8.664923683494174e-07
